,name,rate,location,category,info_link,cover_link
0,霸王别姬,9.6,中国大陆,爱情,https://movie.douban.com/subject/1291546/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1488213971.jpg
1,牡丹亭,9.4,中国大陆,爱情,https://movie.douban.com/subject/4731050/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2365538258.jpg
2,狐妖小红娘剧场版：月红篇,9.3,中国大陆,爱情,https://movie.douban.com/subject/26972694/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2427045524.jpg
3,大话西游之大圣娶亲,9.2,中国大陆,爱情,https://movie.douban.com/subject/1292213/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg
4,狐妖小红娘剧场版：王权富贵,9.2,中国大陆,爱情,https://movie.douban.com/subject/26946612/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2409467410.jpg
5,哀乐中年,9.2,中国大陆,爱情,https://movie.douban.com/subject/4719384/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2029574250.jpg
6,芙蓉镇,9.1,中国大陆,爱情,https://movie.douban.com/subject/1297880/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174804034.jpg
7,大宅门,9.1,中国大陆,爱情,https://movie.douban.com/subject/5301572/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1964425586.jpg
8,大话西游之月光宝盒,9.0,中国大陆,爱情,https://movie.douban.com/subject/1299398/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg
9,红楼梦,9.0,中国大陆,爱情,https://movie.douban.com/subject/1329969/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2322451692.jpg
10,游园惊梦,9.0,中国大陆,爱情,https://movie.douban.com/subject/11593132/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2535520230.jpg
11,情探,9.0,中国大陆,爱情,https://movie.douban.com/subject/4739983/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2397714766.jpg
12,越剧红楼梦,9.0,中国大陆,爱情,https://movie.douban.com/subject/4827535/,https://img3.doubanio.com/view/subject/l/public/s4356746.jpg
13,抬花轿,9.0,中国大陆,爱情,https://movie.douban.com/subject/4728526/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2539742656.jpg
14,泰坦尼克号,9.4,美国,爱情,https://movie.douban.com/subject/1292722/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg
15,阿甘正传,9.4,美国,爱情,https://movie.douban.com/subject/1292720/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2559011361.jpg
16,机器人总动员,9.3,美国,爱情,https://movie.douban.com/subject/2131459/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg
17,乱世佳人,9.3,美国,爱情,https://movie.douban.com/subject/1300267/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg
18,摩登时代,9.3,美国,爱情,https://movie.douban.com/subject/1294371/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173707976.jpg
19,城市之光,9.3,美国,爱情,https://movie.douban.com/subject/1293908/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.jpg
20,生活多美好,9.2,美国,爱情,https://movie.douban.com/subject/1293749/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p771490367.jpg
21,淘金记,9.1,美国,爱情,https://movie.douban.com/subject/1298817/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1581774481.jpg
22,马戏团,9.1,美国,爱情,https://movie.douban.com/subject/1299628/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2248445275.jpg
23,怦然心动,9.0,美国,爱情,https://movie.douban.com/subject/3319755/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p663036666.jpg
24,罗马假日,9.0,美国,爱情,https://movie.douban.com/subject/1293839/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg
25,音乐之声,9.0,美国,爱情,https://movie.douban.com/subject/1294408/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189265302.jpg
26,雨中曲,9.0,美国,爱情,https://movie.douban.com/subject/1293460/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.jpg
27,霸王别姬,9.6,香港,爱情,https://movie.douban.com/subject/1291546/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1488213971.jpg
28,大话西游之大圣娶亲,9.2,香港,爱情,https://movie.douban.com/subject/1292213/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg
29,南海十三郎,9.2,香港,爱情,https://movie.douban.com/subject/1303913/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2328424489.jpg
30,紫钗记,9.2,香港,爱情,https://movie.douban.com/subject/1401219/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2274298717.jpg
31,蝶影红梨记,9.1,香港,爱情,https://movie.douban.com/subject/4047730/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2517260323.jpg
32,大话西游之月光宝盒,9.0,香港,爱情,https://movie.douban.com/subject/1299398/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg
33,上海滩,9.0,香港,爱情,https://movie.douban.com/subject/6311260/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2344833803.jpg
34,一一,9.0,台湾,爱情,https://movie.douban.com/subject/1292434/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2119675128.jpg
35,我和我的女孩,9.5,日本,爱情,https://movie.douban.com/subject/11577118/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2510934952.jpg
36,飄,9.5,日本,爱情,https://movie.douban.com/subject/26555978/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2256610543.jpg
37,元气少女缘结神OVA：神明 幸福美满,9.2,日本,爱情,https://movie.douban.com/subject/26899000/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2391890320.jpg
38,最完美的离婚 2014特别篇,9.1,日本,爱情,https://movie.douban.com/subject/25790749/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2186872257.jpg
39,情迷意乱,9.1,日本,爱情,https://movie.douban.com/subject/1422091/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1449763371.jpg
40,倒数第二次恋爱 2012秋SP,9.1,日本,爱情,https://movie.douban.com/subject/19955789/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1998695160.jpg
41,高智能方程式赛车 TV总集篇,9.1,日本,爱情,https://movie.douban.com/subject/4906417/,https://img3.doubanio.com/view/subject/l/public/s4412555.jpg
42,一一,9.0,日本,爱情,https://movie.douban.com/subject/1292434/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2119675128.jpg
43,吹响悠风号 TV未放送回,9.0,日本,爱情,https://movie.douban.com/subject/26616166/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2296859646.jpg
44,寅次郎的故事48：寅次郎红之花,9.0,日本,爱情,https://movie.douban.com/subject/1417013/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2333007595.jpg
45,草地恋歌,9.3,韩国,爱情,https://movie.douban.com/subject/30238371/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2523789644.jpg
46,我爱你,9.0,韩国,爱情,https://movie.douban.com/subject/5908478/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1075591188.jpg
47,无事生非 (2011年伦敦Wyndham剧院版),9.5,英国,爱情,https://movie.douban.com/subject/26763132/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2328040727.jpg
