,name,rate,location,category,info_link,cover_link
0,盗梦空间,9.3,美国,科幻,https://movie.douban.com/subject/3541415/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg
1,机器人总动员,9.3,美国,科幻,https://movie.douban.com/subject/2131459/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg
2,星际穿越,9.3,美国,科幻,https://movie.douban.com/subject/1889243/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg
3,楚门的世界,9.2,美国,科幻,https://movie.douban.com/subject/1292064/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg
4,超感猎杀：完结特别篇,9.2,美国,科幻,https://movie.douban.com/subject/27040774/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2520264840.jpg
5,蝙蝠侠：黑暗骑士,9.1,美国,科幻,https://movie.douban.com/subject/1851857/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg
6,Ben 10：变身之谜,9.1,美国,科幻,https://movie.douban.com/subject/5187955/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2320482809.jpg
7,控方证人,9.6,美国,悬疑,https://movie.douban.com/subject/1296141/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg
8,十二怒汉,9.5,美国,悬疑,https://movie.douban.com/subject/10583098/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2153875961.jpg
9,控方证人,9.5,美国,悬疑,https://movie.douban.com/subject/5294851/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2367853261.jpg
10,疑犯追踪 试播集,9.4,美国,悬疑,https://movie.douban.com/subject/24700683/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1974739828.jpg
11,盗梦空间,9.3,美国,悬疑,https://movie.douban.com/subject/3541415/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg
12,搏击俱乐部,9.0,美国,悬疑,https://movie.douban.com/subject/1292000/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg
13,无间道,9.2,香港,悬疑,https://movie.douban.com/subject/1307914/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg
14,霸王别姬,9.6,中国大陆,爱情,https://movie.douban.com/subject/1291546/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1488213971.jpg
15,牡丹亭,9.4,中国大陆,爱情,https://movie.douban.com/subject/4731050/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2365538258.jpg
16,狐妖小红娘剧场版：月红篇,9.3,中国大陆,爱情,https://movie.douban.com/subject/26972694/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2427045524.jpg
17,大话西游之大圣娶亲,9.2,中国大陆,爱情,https://movie.douban.com/subject/1292213/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg
18,狐妖小红娘剧场版：王权富贵,9.2,中国大陆,爱情,https://movie.douban.com/subject/26946612/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2409467410.jpg
19,哀乐中年,9.2,中国大陆,爱情,https://movie.douban.com/subject/4719384/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2029574250.jpg
20,芙蓉镇,9.1,中国大陆,爱情,https://movie.douban.com/subject/1297880/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174804034.jpg
21,大宅门,9.1,中国大陆,爱情,https://movie.douban.com/subject/5301572/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1964425586.jpg
22,大话西游之月光宝盒,9.0,中国大陆,爱情,https://movie.douban.com/subject/1299398/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg
23,红楼梦,9.0,中国大陆,爱情,https://movie.douban.com/subject/1329969/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2322451692.jpg
24,游园惊梦,9.0,中国大陆,爱情,https://movie.douban.com/subject/11593132/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2535520230.jpg
25,情探,9.0,中国大陆,爱情,https://movie.douban.com/subject/4739983/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2397714766.jpg
26,越剧红楼梦,9.0,中国大陆,爱情,https://movie.douban.com/subject/4827535/,https://img3.doubanio.com/view/subject/l/public/s4356746.jpg
27,抬花轿,9.0,中国大陆,爱情,https://movie.douban.com/subject/4728526/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2539742656.jpg
