,movie_id,movie,genre
0,0000008,Edison Kinetoscopic Record of a Sneeze (1894),Documentary|Short
1,0000010,La sortie des usines Lumière (1895),Documentary|Short
2,0000012,The Arrival of a Train (1896),Documentary|Short
3,25,The Oxford and Cambridge University Boat Race (1895),
4,0000091,Le manoir du diable (1896),Short|Horror
5,0000131,Une nuit terrible (1896),Short|Comedy|Horror
6,0000417,A Trip to the Moon (1902),Short|Action|Adventure|Comedy|Fantasy|Sci-Fi
7,0000439,The Great Train Robbery (1903),Short|Action|Crime|Western
8,0443,"Hiawatha, the Messiah of the Ojibway (1903)",
9,0000628,The Adventures of Dollie (1908),Action|Short
10,0000833,The Country Doctor (1909),Short|Drama
11,0001223,Frankenstein (1910),Short|Horror|Sci-Fi
12,0001740,The Lonedale Operator (1911),Short|Drama|Romance
13,0002101,Cleopatra (1912),Drama|History
14,0002130,L'inferno (1911),Adventure|Drama|Fantasy|Horror
15,0002354,Max et Jane veulent faire du théâtre (1911),Short|Comedy|Romance
16,0002844,Fantômas - À l'ombre de la guillotine (1913),Crime|Drama
17,0003740,Cabiria (1914),Adventure|Drama|History
18,0003863,Dough and Dynamite (1914),Comedy|Short
19,0004099,"His Majesty, the Scarecrow of Oz (1914)",Family|Fantasy|Adventure|Comedy
20,0004100,His Musical Career (1914),Short|Comedy
21,0004101,His New Profession (1914),Short|Comedy
22,0004210,Laughing Gas (1914),Short|Comedy
23,0004395,The New Janitor (1914),Short|Comedy
24,0004457,The Patchwork Girl of Oz (1914),Adventure|Family|Fantasy
25,0004518,Recreation (1914),Comedy|Short
26,0004546,The Rounders (1914),Comedy|Short
27,0004936,The Bank (1915),Comedy|Short
28,0004972,The Birth of a Nation (1915),Drama|History|War
29,0005074,The Champion (1915),Short|Comedy|Sport
30,0005078,The Cheat (1915),Drama
31,0005530,L'héroïsme de Paddy (1915),
32,0005571,A Jitney Elopement (1915),Short|Comedy
33,0005960,Regeneration (1915),Biography|Crime|Drama|Romance
34,0006177,The Tramp (1915),Short|Comedy
35,0006206,Les vampires (1915),Action|Adventure|Crime|Drama|Mystery|Thriller
36,0006414,Behind the Screen (1916),Short|Comedy|Romance
37,0006437,The Blacklist (1916),Drama
38,0006684,The Fireman (1916),Short|Comedy
39,0006689,The Floorwalker (1916),Short|Comedy
40,0006864,Intolerance: Love's Struggle Throughout the Ages (1916),Drama|History
41,0007145,One A.M. (1916),Comedy|Family|Short
42,0007162,The Pawnshop (1916),Comedy|Short
43,0007264,The Rink (1916),Comedy|Short
44,0007507,The Vagabond (1916),Short|Comedy|Romance
45,0007832,The Cure (1917),Short|Comedy
46,0007880,Easy Street (1917),Short|Comedy
47,0008133,The Immigrant (1917),Short|Comedy|Drama|Romance
48,0008395,Otets Sergiy (1918),Biography|Drama|History
49,0009018,A Dog's Life (1918),Short|Comedy|Drama
50,009340,The Man Who Woke Up (1918),
51,0009678,Take a Chance (1918),Comedy|Short
52,0009893,Die Austernprinzessin (1919),Comedy
53,0009968,Broken Blossoms or The Yellow Man and the Girl (1919),Drama|Romance
54,0010180,Godovshchina revolyutsii (1918),Documentary
55,0010193,The Greatest Question (1919),Drama
56,0010247,Herr Arnes pengar (1919),Drama|History
57,0010258,His Royal Slyness (1920),Comedy|Short
58,0010323,Das Cabinet des Dr. Caligari (1920),Fantasy|Horror|Mystery|Thriller
59,0010806,True Heart Susie (1919),Comedy|Drama|Romance
60,0010930,Young Mr. Jazz (1919),Comedy|Short
61,0011130,Dr. Jekyll and Mr. Hyde (1920),Drama|Horror|Sci-Fi
62,0011267,Headin' Home (1920),Biography|Comedy|Drama
63,0011439,The Mark of Zorro (1920),Adventure|Romance|Western
64,0011508,Neighbors (1920),Short|Comedy|Romance
65,0011541,One Week (1920),Short|Comedy
66,0011607,Prästänkan (1920),Comedy|Drama|Horror
67,0011656,The Scarecrow (1920),Comedy|Short|Family
68,0011717,The Son of Tarzan (1920),Action|Adventure
69,0011841,Way Down East (1920),Drama|Romance
70,0011870,Within Our Gates (1920),Drama|Romance
71,0012224,The Goat (1921),Comedy|Short
72,0012278,The 'High Sign' (1921),Short|Comedy
73,0012349,The Kid (1921),Comedy|Drama|Family
74,0012364,Körkarlen (1921),Drama|Fantasy|Horror
75,0012494,Der müde Tod (1921),Drama|Fantasy|Thriller
76,0012532,Orphans of the Storm (1921),Drama|History|Romance
77,0012651,Schloß Vogeloed (1921),Crime|Drama|Horror|Mystery
78,0012675,The Sheik (1921),Adventure|Drama|Romance
79,012844,White and Unmarried (1921),
80,0013025,Cops (1922),Short|Comedy|Family
81,0013086,"Dr. Mabuse, der Spieler - Ein Bild der Zeit (1922)",Crime|Mystery|Thriller
82,0013099,The Electric House (1922),Short|Comedy
83,0013140,Foolish Wives (1922),Drama|Thriller
84,0013257,Häxan (1922),Documentary|Fantasy|Horror
85,0013427,Nanook of the North (1922),Documentary
86,0013442,"Nosferatu, eine Symphonie des Grauens (1922)",Fantasy|Horror
87,0013486,Pay Day (1922),Comedy|Short
88,0013571,Salomé (1922),Biography|Drama|History|Horror
89,0013626,La souriante Madame Beudet (1923),Drama
90,0013741,Das Weib des Pharao (1922),Drama|History
91,0013858,The Balloonatic (1923),Short|Comedy
92,0014142,The Hunchback of Notre Dame (1923),Drama|Horror|Romance
93,0014341,Our Hospitality (1923),Comedy|Romance|Thriller
94,0014390,En rackarunge (1924),
95,0014417,La roue (1923),Drama
